002174	游戏Ⅲ
002175	综合Ⅲ
002176	电机Ⅲ
002177	其他计算机设备
002178	垂直应用软件
002179	军工电子Ⅲ
002180	数字芯片设计
002181	大众出版
002182	其他小金属
002183	中间产品及消费品供应链服务
002184	工控设备
002185	集成电路封测
002186	餐饮
002187	百货
002188	营销代理
002189	军工电子Ⅲ
002190	航空装备Ⅲ
002191	纸包装
002192	锂电专用设备
002193	其他纺织
002194	通信网络设备及器件
002195	IT服务Ⅲ
002196	电机Ⅲ
002197	其他计算机设备
002198	中药Ⅲ
002199	被动元件
002200	园林工程
002201	玻纤制造
002202	风电整机
002203	铜
002204	能源及重型设备
002205	综合环境治理
002206	涤纶
002207	油田服务
002208	住宅开发
002209	印刷包装机械
002210	原材料供应链服务
002211	有机硅
002212	横向通用软件
002213	底盘与发动机系统
002214	军工电子Ⅲ
002215	农药
002216	预加工食品
002217	面板
002218	光伏辅材
002219	医院
002221	其他石化
002222	光学元件
002223	医疗设备
002224	其他橡胶制品
002225	耐火材料
002226	民爆制品
002227	火电设备
002228	纸包装
002229	印刷
002230	横向通用软件
002231	通信工程及服务
002232	IT服务Ⅲ
002233	水泥制造
002234	肉鸡养殖
002235	特种纸
002236	安防设备
002237	黄金
002238	电视广播Ⅲ
002239	汽车电子电气系统
002240	锂
002241	消费电子零部件及组装
002242	厨房小家电
002243	化妆品制造及其他
002244	住宅开发
002245	锂电池
002246	民爆制品
002247	营销代理
002248	机床工具
002249	电机Ⅲ
002250	农药
002251	超市
002252	血液制品
002253	垂直应用软件
002254	氨纶
002255	火电设备
002256	光伏发电
002258	农药
002259	燃气Ⅲ
002260	厨房小家电
002261	教育运营及其他
002262	化学制剂
002263	膜材料
002264	超市
002265	底盘与发动机系统
002266	固废治理
002267	燃气Ⅲ
002268	其他计算机设备
002269	非运动服装
002270	输变电设备
002271	防水材料
002272	工程机械器件
002273	光学元件
002274	复合肥
002275	中药Ⅲ
002276	线缆部件及其他
002277	百货
002278	能源及重型设备
002279	横向通用软件
002280	跨境电商
002281	通信网络设备及器件
002282	磨具磨料
002283	底盘与发动机系统
002284	底盘与发动机系统
002285	房产租赁经纪
002286	其他农产品加工
002287	中药Ⅲ
002288	印制电路板
002289	面板
002290	家电零部件Ⅲ
002291	营销代理
002292	影视动漫制作
002293	家纺
002294	化学制剂
002295	铜
002296	通信网络设备及器件
002297	航空装备Ⅲ
002298	垂直应用软件
002299	肉鸡养殖
002300	线缆部件及其他
002301	文化用品
002302	水泥制品
002303	纸包装
002304	白酒Ⅲ
002305	商业地产
002306	餐饮
002307	基建市政工程
002308	其他计算机设备
002309	光伏电池组件
002310	园林工程
002311	水产饲料
002312	磷肥及磷化工
002313	通信终端及配件
002314	住宅开发
002315	跨境电商
002316	金融信息服务
002317	中药Ⅲ
002318	特钢Ⅲ
002319	涂料油墨
002320	航运
002321	其他养殖
002322	垂直应用软件
002323	其他建材Ⅲ
002324	改性塑料
002325	装修装饰Ⅲ
002326	氟化工
002327	家纺
002328	其他汽车零部件
002329	乳品
002330	肉制品
002331	IT服务Ⅲ
002332	化学制剂
002333	其他建材Ⅲ
002334	工控设备
002335	其他能源设备Ⅲ
002336	超市
002337	其他专用设备
002338	军工电子Ⅲ
002339	电网自动化设备
002340	电池化学品
002341	膜材料
002342	金属制品
002343	影视动漫制作
002344	商业物业经营
002345	钟表珠宝
002346	输变电设备
002347	金属制品
002348	娱乐用品
002349	中药Ⅲ
002350	配电设备
002351	品牌消费电子
002352	快递
002353	能源及重型设备
002354	游戏Ⅲ
002355	轮胎轮毂
002356	多业态零售
002357	公交
002358	输变电设备
002359	电信运营商
002360	民爆制品
002361	合成树脂
002362	垂直应用软件
002363	底盘与发动机系统
002364	其他能源设备Ⅲ
002365	原料药
002366	其他能源设备Ⅲ
002367	楼宇设备
002368	IT服务Ⅲ
002369	消费电子零部件及组装
002370	化学制剂
002371	半导体设备
002372	管材
002373	IT服务Ⅲ
002374	金属包装
002375	装修装饰Ⅲ
002376	其他计算机设备
002377	房产租赁经纪
002378	钨
002379	铝
002380	IT服务Ⅲ
002381	其他橡胶制品
002382	医疗耗材
002383	军工电子Ⅲ
002384	印制电路板
002385	畜禽饲料
002386	氯碱
002387	面板
002388	其他电子Ⅲ
002389	航空装备Ⅲ
002390	中药Ⅲ
002391	农药
002392	耐火材料
002393	化学制剂
002394	棉纺
002395	合成树脂
002396	通信网络设备及器件
002397	家纺
002398	其他建材Ⅲ
002399	原料药
002400	营销代理
002401	IT服务Ⅲ
002402	消费电子零部件及组装
002403	厨房小家电
002404	其他纺织
002405	垂直应用软件
002406	底盘与发动机系统
002407	氟化工
002408	其他石化
002409	半导体材料
002410	垂直应用软件
002411	医药流通
002412	中药Ⅲ
002413	军工电子Ⅲ
002414	军工电子Ⅲ
002415	安防设备
002416	专业连锁Ⅲ
002417	IT服务Ⅲ
002418	家电零部件Ⅲ
002419	百货
002420	家电零部件Ⅲ
002421	IT服务Ⅲ
002422	化学制剂
002423	金融控股
002424	中药Ⅲ
002425	游戏Ⅲ
002426	金属制品
002427	涤纶
002428	其他小金属
002429	彩电
002430	其他专用设备
002431	园林工程
002432	医疗设备
002433	中药Ⅲ
002434	底盘与发动机系统
002435	化学制剂
002436	印制电路板
002437	化学制剂
002438	金属制品
002439	横向通用软件
002440	纺织化学制品
002441	配电设备
002442	炭黑
002443	特钢Ⅲ
002444	其他通用设备
002445	游戏Ⅲ
002446	军工电子Ⅲ
002447	游戏Ⅲ
002448	底盘与发动机系统
002449	LED
002450	膜材料
002451	线缆部件及其他
002452	输变电设备
002453	其他化学制品
002454	汽车电子电气系统
002455	其他化学制品
002456	光学元件
002457	管材
002458	肉鸡养殖
002459	光伏电池组件
002460	锂
002461	啤酒
002462	医药流通
002463	印制电路板
002464	游戏Ⅲ
002465	军工电子Ⅲ
002466	锂
002467	通信应用增值服务
002468	快递
002469	化学工程
002470	复合肥
002471	线缆部件及其他
002472	底盘与发动机系统
002473	厨房小家电
002474	IT服务Ⅲ
002475	消费电子零部件及组装
002476	其他石化
002478	特钢Ⅲ
002479	热力服务
002480	金属制品
002481	其他农产品加工
002482	装修装饰Ⅲ
002483	能源及重型设备
002484	被动元件
002485	非运动服装
002486	其他纺织
002487	风电零部件
002488	轮胎轮毂
002489	成品家居
002490	能源及重型设备
002491	通信线缆及配套
002492	仓储物流
002493	炼油化工
002494	非运动服装
002495	调味发酵品Ⅲ
002496	农药
002497	民爆制品
002498	线缆部件及其他
002499	光伏发电
002500	证券Ⅲ
002501	铝
002502	影视动漫制作
002503	非运动服装
002504	装修装饰Ⅲ
002505	其他养殖
002506	光伏电池组件
002507	调味发酵品Ⅲ
002508	厨房电器
002510	其他汽车零部件
002511	生活用纸
002512	其他计算机设备
002513	农药
002514	金属制品
002515	肉制品
002516	车身附件及饰件
002517	游戏Ⅲ
002518	其他能源设备Ⅲ
002519	其他黑色家电
002520	机床工具
002521	特种纸
002522	膜材料
002523	能源及重型设备
002524	医院
002526	能源及重型设备
002527	机器人
002528	安防设备
002529	其他专用设备
002530	IT服务Ⅲ
002531	风电零部件
002532	铝
002533	线缆部件及其他
002534	火电设备
002535	能源及重型设备
002536	底盘与发动机系统
002537	车身附件及饰件
002538	复合肥
002539	复合肥
002540	铝
002541	钢结构
002542	其他专业工程
002543	卫浴电器
002544	通信工程及服务
002545	钢结构
002546	电工仪器仪表
002547	消费电子零部件及组装
002548	畜禽饲料
002549	其他化学制品
002550	化学制剂
002551	医疗耗材
002552	金属制品
002553	底盘与发动机系统
002554	油气及炼化工程
002555	游戏Ⅲ
002556	农业综合Ⅲ
002557	零食
002558	游戏Ⅲ
002559	机床工具
002560	线缆部件及其他
002561	百货
002562	食品及饲料添加剂
002563	非运动服装
002564	能源及重型设备
002565	纸包装
002566	中药Ⅲ
002567	畜禽饲料
002568	其他酒类
002569	非运动服装
002570	乳品
002571	其他家居用品
002572	定制家居
002573	大气治理
002574	钟表珠宝
002575	娱乐用品
002576	电机Ⅲ
002577	其他计算机设备
002578	铝
002579	印制电路板
002580	蓄电池及其他电池
002581	其他生物制品
002582	零食
002583	通信网络设备及器件
002584	电子化学品Ⅲ
002585	膜材料
002586	基建市政工程
002587	LED
002588	复合肥
002589	医药流通
002590	底盘与发动机系统
002591	营销代理
002592	底盘与发动机系统
002593	钢结构
002594	电动乘用车
002595	其他专用设备
002596	水泥制品
002597	食品及饲料添加剂
002598	其他通用设备
002599	印刷
002600	消费电子零部件及组装
002601	钛白粉
002602	游戏Ⅲ
002603	中药Ⅲ
002605	娱乐用品
002606	线缆部件及其他
002607	培训教育
002608	火力发电
002609	IT服务Ⅲ
002610	光伏辅材
002611	印刷包装机械
002612	非运动服装
002613	玻璃制造
002614	其他家电Ⅲ
002615	其他家居用品
002616	其他能源发电
002617	光伏发电
002618	印制电路板
002619	游戏Ⅲ
002620	装修装饰Ⅲ
002621	培训教育
002622	输变电设备
002623	光伏辅材
002624	游戏Ⅲ
002625	航空装备Ⅲ
002626	保健品
002627	公交
002628	基建市政工程
002629	油田服务
002630	火电设备
002631	定制家居
002632	膜材料
002633	金属制品
002634	鞋帽及其他
002635	消费电子零部件及组装
002636	印制电路板
002637	其他化学制品
002638	培训教育
002639	制冷空调设备
002640	跨境电商
002641	管材
002642	IT服务Ⅲ
002643	电子化学品Ⅲ
002644	中药Ⅲ
002645	环保设备Ⅲ
002646	白酒Ⅲ
002647	金融信息服务
002648	其他石化
002649	IT服务Ⅲ
002650	调味发酵品Ⅲ
002651	能源及重型设备
002652	其他建材Ⅲ
002653	化学制剂
002654	LED
002655	消费电子零部件及组装
002656	非运动服装
002657	IT服务Ⅲ
002658	环保设备Ⅲ
002659	学历教育
002660	消费电子零部件及组装
002661	其他农产品加工
002662	车身附件及饰件
002663	园林工程
002664	汽车电子电气系统
002665	其他能源设备Ⅲ
002666	其他化学制品
002667	能源及重型设备
002668	冰洗
002669	胶黏剂及胶带
002670	证券Ⅲ
002671	水泥制品
002672	固废治理
002673	证券Ⅲ
002674	辅料
002675	化学制剂
002676	家电零部件Ⅲ
002677	厨房电器
002678	娱乐用品
002679	林业Ⅲ
002681	消费电子零部件及组装
002682	公路货运
002683	民爆制品
002684	汽车综合服务
002685	机床工具
002686	制冷空调设备
002687	非运动服装
002688	动物保健Ⅲ
002689	楼宇设备
002690	其他专用设备
002691	能源及重型设备
002692	线缆部件及其他
002693	其他生物制品
002694	管材
002695	熟食
002696	水产养殖
002697	超市
002698	机器人
002699	影视动漫制作
002700	燃气Ⅲ
002701	金属包装
002702	预加工食品
002703	底盘与发动机系统
002705	厨房小家电
002706	配电设备
002707	旅游综合
002708	底盘与发动机系统
002709	电池化学品
002711	原材料供应链服务
002712	营销代理
002713	装修装饰Ⅲ
002714	生猪养殖
002715	底盘与发动机系统
002716	白银
002717	园林工程
002718	其他建材Ⅲ
002719	乳品
002721	钟表珠宝
002722	其他纺织
002723	照明设备Ⅲ
002724	其他电子Ⅲ
002725	轮胎轮毂
002726	肉制品
002727	线下药店
002728	中药Ⅲ
002729	其他电子Ⅲ
002730	能源及重型设备
002731	钟表珠宝
002732	乳品
002733	蓄电池及其他电池
002734	农药
002735	塑料包装
002736	证券Ⅲ
002737	中药Ⅲ
002738	其他小金属
002739	院线
002740	钟表珠宝
002741	电子化学品Ⅲ
002742	水泥制品
002743	钢结构
002745	LED
002746	肉鸡养殖
002747	机器人
002748	氯碱
002749	农药
002750	中药Ⅲ
002751	会展服务
002752	金属包装
002753	炭黑
002755	化学制剂
002756	特钢Ⅲ
002757	其他专用设备
002758	医药流通
002759	电池化学品
002760	磨具磨料
002761	房屋建设Ⅲ
002762	非运动服装
002763	鞋帽及其他
002765	面板
002766	汽车电子电气系统
002767	仪器仪表
002768	改性塑料
002769	中间产品及消费品供应链服务
002770	乳品
002771	IT服务Ⅲ
002772	食用菌
002773	化学制剂
002774	楼宇设备
002775	园林工程
002776	非运动服装
002777	IT服务Ⅲ
002778	其他石化
002779	其他专用设备
002780	运动服装
002781	装修装饰Ⅲ
002782	消费电子零部件及组装
002783	民爆制品
002785	其他建材Ⅲ
002786	其他专用设备
002787	金属包装
002788	医药流通
002789	装修装饰Ⅲ
002790	卫浴制品
002791	其他建材Ⅲ
002792	通信网络设备及器件
002793	化学制剂
002795	金属制品
002796	楼宇设备
002797	证券Ⅲ
002798	瓷砖地板
002799	纸包装
002800	公路货运
002801	电机Ⅲ
002802	其他化学制品
002803	跨境电商
002805	其他化学原料
002806	铝
002807	农商行Ⅲ
002808	光学元件
002809	其他化学制品
002810	其他化学制品
002811	装修装饰Ⅲ
002812	电池化学品
002813	汽车电子电气系统
002815	印制电路板
002816	其他专用设备
002817	医疗耗材
002818	商业物业经营
002819	仪器仪表
002820	烘焙食品
002821	医疗研发外包
002822	装修装饰Ⅲ
002823	电机Ⅲ
002824	铝
002825	其他塑料制品
002826	化学制剂
002827	民爆制品
002828	油田服务
002829	航天装备Ⅲ
002830	装修装饰Ⅲ
002831	纸包装
002832	非运动服装
002833	其他专用设备
002835	安防设备
002836	纸包装
002837	其他专用设备
002838	改性塑料
002839	农商行Ⅲ
002840	肉制品
002841	教育运营及其他
002842	钨
002843	金属制品
002845	面板
002846	金属包装
002847	零食
002848	其他黑色家电
002849	仪器仪表
002850	锂电池
002851	其他能源设备Ⅲ
002852	粮油加工
002853	定制家居
002855	消费电子零部件及组装
002856	装修装饰Ⅲ
002857	电工仪器仪表
002858	体育Ⅲ
002859	其他电子Ⅲ
002860	家电零部件Ⅲ
002861	消费电子零部件及组装
002862	娱乐用品
002863	轮胎轮毂
002864	中药Ⅲ
002865	车身附件及饰件
002866	消费电子零部件及组装
002867	钟表珠宝
002868	动物保健Ⅲ
002869	其他电子Ⅲ
002870	仪器仪表
002871	金属制品
002872	医药流通
002873	中药Ⅲ
002875	非运动服装
002876	面板
002877	金属制品
002878	会展服务
002879	线缆部件及其他
002880	血液制品
002881	消费电子零部件及组装
002882	线缆部件及其他
002883	工程咨询服务Ⅲ
002884	其他通用设备
002885	消费电子零部件及组装
002886	改性塑料
002887	综合环境治理
002888	品牌消费电子
002889	中间产品及消费品供应链服务
002890	农用机械
002891	宠物食品
002892	电机Ⅲ
002893	热力服务
002895	磷肥及磷化工
002896	金属制品
002897	通信网络设备及器件
002898	化学制剂
002899	娱乐用品
002900	化学制剂
002901	医疗耗材
002902	通信网络设备及器件
002903	机床工具
002905	院线
002906	汽车电子电气系统
002907	中药Ⅲ
002908	通信终端及配件
002909	有机硅
002910	乳品
002911	燃气Ⅲ
002912	其他计算机设备
002913	印制电路板
002915	氟化工
002916	印制电路板
